RID,wind,air,cold,road,sun,transportation,res
0,normal,good,possible,misty,very_low,good,yes
1,normal,good,possible,misty,very_low,good,yes
2,normal,good,usually,misty,very_low,good,yes
3,cold,good,extremely,misty,very_low,good,no
4,normal,medium,extremely,dry,high,great,no
5,normal,good,possible,misty,very_low,good,yes
6,normal,good,possible,misty,very_low,good,yes
7,normal,medium,extremely,misty,low,good,yes
8,normal,good,possible,misty,very_low,good,yes
9,normal,medium,usually,misty,very_low,good,yes
10,normal,good,extremely,dry,high,great,no
11,normal,good,extremely,misty,very_low,good,yes
12,normal,medium,possible,misty,very_low,good,yes
13,normal,good,possible,dry,very_low,great,yes
14,normal,medium,usually,misty,very_low,good,yes
15,normal,medium,usually,misty,very_low,good,yes
16,normal,medium,usually,dry,high,great,no
17,normal,good,possible,misty,low,good,yes
18,normal,good,extremely,misty,very_low,good,yes
19,normal,good,possible,misty,very_low,good,yes
20,normal,good,possible,misty,very_low,good,yes
21,normal,good,usually,misty,very_low,good,yes
22,normal,good,usually,misty,very_low,good,yes
23,normal,medium,usually,misty,very_low,good,yes
24,normal,good,possible,misty,very_low,good,yes
25,normal,good,possible,dry,low,great,yes
26,normal,medium,usually,misty,very_low,good,yes
27,normal,good,possible,misty,very_low,good,yes
28,normal,medium,usually,misty,very_low,good,yes
29,normal,medium,extremely,misty,low,good,yes
30,cool,good,extremely,misty,very_low,good,no
31,normal,medium,extremely,misty,low,good,yes
32,cool,good,extremely,dry,high,great,no
33,normal,good,extremely,dry,very_low,great,no
34,normal,good,usually,misty,low,good,yes
35,normal,medium,usually,misty,very_low,good,yes
36,normal,good,extremely,dry,high,great,no
37,normal,good,possible,misty,very_low,good,yes
38,normal,medium,usually,misty,very_low,good,yes
39,normal,good,usually,misty,very_low,good,no
40,normal,good,extremely,dry,high,great,no
41,normal,good,extremely,misty,very_low,good,yes
42,cool,good,extremely,misty,very_low,good,yes
43,normal,good,extremely,misty,low,good,yes
44,normal,good,usually,misty,very_low,good,yes
45,normal,medium,possible,misty,low,good,yes
46,normal,good,usually,misty,low,good,yes
47,normal,medium,extremely,misty,very_low,good,no
48,normal,good,usually,misty,very_low,good,yes
49,normal,good,extremely,misty,very_low,good,yes
50,normal,good,possible,misty,very_low,good,yes
51,normal,good,usually,misty,very_low,good,yes
52,normal,good,usually,misty,very_low,good,yes
53,normal,medium,extremely,dry,high,great,no
54,normal,good,usually,misty,very_low,good,yes
55,normal,medium,possible,dry,very_low,great,no
56,normal,medium,usually,misty,very_low,good,yes
57,normal,good,extremely,dry,very_low,great,both
58,normal,medium,usually,misty,very_low,good,yes
59,normal,good,usually,misty,very_low,good,yes
60,cool,medium,extremely,misty,very_low,good,no
61,normal,medium,extremely,dry,high,great,no
62,normal,good,usually,misty,very_low,good,yes
63,normal,good,usually,misty,very_low,good,yes
64,normal,medium,usually,misty,very_low,good,yes
65,normal,good,possible,misty,very_low,good,no
66,normal,good,extremely,dry,high,great,no
67,normal,good,usually,misty,very_low,good,yes
68,normal,good,extremely,dry,high,great,no
69,normal,good,extremely,dry,high,great,no
70,normal,good,possible,dry,very_low,great,no
71,normal,good,usually,misty,very_low,good,yes
72,normal,medium,extremely,dry,high,great,no
73,normal,good,usually,misty,very_low,good,yes
74,normal,medium,extremely,misty,very_low,good,yes
75,normal,medium,possible,misty,very_low,good,no
76,normal,good,usually,misty,very_low,good,yes
77,normal,good,possible,misty,very_low,good,yes
78,normal,medium,usually,misty,very_low,good,yes
79,normal,good,usually,misty,very_low,good,yes
80,normal,good,extremely,dry,high,great,no
81,normal,good,possible,misty,very_low,good,yes
82,normal,good,usually,misty,low,good,yes
83,normal,good,usually,misty,low,good,yes
84,normal,good,usually,misty,very_low,good,yes
85,normal,good,extremely,misty,very_low,good,no
86,normal,good,extremely,misty,very_low,good,no
87,normal,medium,possible,dry,very_low,great,no
88,normal,good,usually,misty,very_low,good,yes
89,normal,good,possible,misty,very_low,good,yes
90,normal,medium,possible,misty,very_low,good,yes
91,cool,good,extremely,misty,very_low,good,no
92,normal,good,possible,misty,very_low,good,yes
93,normal,good,extremely,dry,low,great,yes
94,normal,good,extremely,misty,very_low,good,yes
95,normal,medium,usually,misty,very_low,good,no
96,normal,medium,usually,misty,very_low,good,yes
97,normal,medium,usually,misty,very_low,good,yes
98,normal,good,possible,misty,low,good,yes
99,normal,good,extremely,misty,low,good,yes
100,normal,good,extremely,dry,low,great,no
101,normal,medium,extremely,misty,very_low,good,yes
102,normal,good,usually,misty,very_low,good,yes
103,normal,good,extremely,misty,low,good,yes
104,normal,medium,extremely,dry,low,great,yes
105,normal,medium,usually,misty,very_low,good,yes
106,normal,medium,usually,misty,low,good,no
107,normal,good,extremely,misty,very_low,good,yes
108,normal,good,extremely,misty,very_low,good,yes
109,normal,good,extremely,dry,very_low,great,both
110,normal,good,possible,misty,very_low,good,yes
111,normal,good,possible,dry,very_low,great,yes
112,normal,good,usually,dry,high,great,no
113,normal,good,possible,misty,very_low,good,yes
114,normal,good,possible,dry,very_low,great,no
115,cool,good,extremely,misty,very_low,good,no
116,normal,good,usually,misty,very_low,good,no
117,normal,good,usually,misty,very_low,good,yes
118,normal,good,usually,misty,low,good,yes
119,normal,good,possible,dry,very_low,great,no
120,normal,good,possible,misty,very_low,good,yes
121,normal,good,usually,misty,very_low,good,yes
122,normal,good,possible,dry,very_low,great,yes
123,cool,good,extremely,dry,low,great,no
124,normal,medium,usually,misty,very_low,good,yes
125,normal,good,extremely,misty,very_low,good,yes
126,normal,good,possible,misty,very_low,good,yes
127,normal,good,usually,dry,very_low,great,yes
128,normal,good,possible,misty,very_low,good,yes
129,normal,medium,usually,dry,very_low,great,yes
130,normal,medium,possible,misty,low,good,yes
131,normal,medium,possible,misty,very_low,good,yes
132,normal,medium,extremely,misty,low,good,yes
133,normal,good,extremely,misty,very_low,good,yes
134,normal,medium,usually,misty,low,good,no
135,cool,good,usually,misty,very_low,good,yes
136,normal,good,usually,misty,very_low,good,yes
137,normal,medium,usually,misty,very_low,good,yes
138,normal,good,usually,misty,very_low,good,no
139,normal,good,usually,misty,very_low,good,yes
140,normal,good,usually,dry,very_low,great,yes
141,normal,good,extremely,misty,very_low,good,no
142,normal,good,possible,misty,very_low,good,yes
143,normal,good,usually,misty,very_low,good,no
144,normal,medium,usually,misty,very_low,good,no
145,normal,medium,possible,dry,medium,great,both
146,normal,good,possible,misty,low,good,yes
147,normal,good,usually,misty,very_low,good,yes
148,normal,good,usually,misty,very_low,good,yes
149,normal,good,usually,misty,very_low,good,yes
150,normal,good,usually,misty,very_low,good,yes
151,normal,good,extremely,dry,high,great,no
152,cold,medium,extremely,dry,medium,great,no
153,cool,medium,extremely,dry,high,great,no
154,normal,good,possible,misty,low,good,yes
155,cool,good,extremely,dry,high,great,no
156,normal,good,extremely,misty,low,good,yes
157,cool,good,usually,dry,low,great,both
158,normal,good,extremely,misty,low,good,yes
159,normal,good,usually,misty,very_low,good,yes
160,normal,good,usually,dry,very_low,great,yes
161,normal,good,possible,misty,very_low,good,yes
162,normal,good,usually,misty,low,good,no
163,normal,good,usually,misty,very_low,good,yes
164,normal,good,usually,misty,very_low,good,yes
165,normal,good,usually,misty,low,good,yes
166,normal,good,possible,misty,very_low,good,yes
167,normal,good,extremely,dry,very_low,great,yes
168,normal,good,extremely,misty,low,good,yes
169,normal,medium,usually,misty,very_low,good,yes
170,normal,good,possible,misty,very_low,good,yes
171,normal,good,possible,misty,very_low,good,yes
172,normal,good,extremely,misty,very_low,good,no
173,normal,good,extremely,misty,very_low,good,yes
174,normal,medium,usually,misty,very_low,good,yes
175,normal,medium,possible,misty,low,good,yes
176,normal,medium,usually,misty,very_low,good,yes
177,normal,medium,extremely,dry,high,great,no
178,normal,good,extremely,misty,very_low,good,both
179,normal,medium,usually,misty,very_low,good,yes
180,normal,good,usually,misty,very_low,good,yes
181,normal,good,usually,misty,very_low,good,yes
182,normal,medium,possible,misty,very_low,good,yes
183,normal,good,usually,misty,very_low,good,yes
184,normal,good,possible,dry,medium,great,both
185,normal,good,extremely,dry,high,great,no
186,cool,good,extremely,dry,very_low,great,no
187,normal,good,possible,misty,very_low,good,yes
188,normal,good,extremely,misty,low,good,yes
189,normal,medium,extremely,misty,very_low,good,yes
190,normal,medium,extremely,misty,very_low,good,yes
